*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V6.1
*Date=16:23:06
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;80.4016;-14.1004;0;Bottom;Pad103
111;;;171.842;-14.1004;0;Bottom;Pad26
112;100;THT;71.1941;-36.3255;-4.77083e-15;Bottom;R54
113;330;THT;136.282;-51.248;90;Bottom;R10
114;;;151.522;-42.0404;0;Bottom;Pad42
115;;;55.0016;-42.0404;0;Bottom;Pad74
116;;THT;3.88408;-29.023;0;Bottom;TEST
117;;THT;132.558;-43.3105;-90;Bottom;U5
118;;THT;178.097;-15.3607;90;Bottom;U2
119;330;THT;42.3016;-7.43297;90;Bottom;R122
120;330;THT;105.802;-7.43297;90;Bottom;R111
121;330;THT;161.682;-7.43297;90;Bottom;R101
122;;;103.262;-14.1004;0;Bottom;Pad2
123;;;218.422;-51.6153;0;Top;blkr7
124;330;THT;21.9816;-51.248;90;Bottom;R30
125;100;THT;102.309;-22.3555;0;Bottom;R80
126;;;133.742;-42.0404;0;Bottom;Pad49
127;330;THT;103.262;-51.248;90;Bottom;R16
128;;;206.386;-50.8301;0;Bottom;TXT16
129;;;32.1416;-44.5804;0;Bottom;Pad81
130;;;44.8416;-16.6404;0;Bottom;Pad116
131;100;THT;158.189;-22.3555;0;Bottom;R70
132;;;82.9416;-44.5804;0;Bottom;Pad70
133;;DIP16 [THT];109.612;-29.3405;90;Bottom;IC4
134;330;THT;110.882;-7.43297;90;Bottom;R110
135;;;110.882;-42.0404;0;Bottom;Pad57
136;100;THT;185.494;-36.3255;0;Bottom;R33
137;;;151.522;-44.5804;0;Bottom;Pad43
138;330;THT;27.0616;-51.248;90;Bottom;R29
139;;;67.7068;-28.7138;0;Bottom;Via15
140;;THT;18.1716;-2.67047;-90;Bottom;J16
141;;;128.662;-42.0404;0;Bottom;Pad50
142;;;98.275;-29.2854;0;Top;blkr3
143;100;THT;33.0941;-36.3255;180;Bottom;R60
144;330;THT;80.4016;-51.248;90;Bottom;R20
145;;;85.4816;-16.6404;0;Bottom;Pad102
146;;;184.542;-44.5804;0;Bottom;Pad36
147;;;105.802;-44.5804;0;Bottom;Pad59
148;;;184.541;-29.9756;0;Bottom;Via5
149;100;THT;125.169;-22.3555;0;Bottom;R76
150;;THT;63.9776;-43.3105;-90;Bottom;U11
151;;THT;41.1176;-43.3105;-90;Bottom;U13
152;;;156.602;-42.0404;0;Bottom;Pad41
153;;THT;132.472;-2.67047;-90;Bottom;J6
154;330;THT;14.3616;-7.43297;90;Bottom;R127
155;100nF;200 mil [THT, multilayer];143.902;-29.3405;90;Bottom;C3
156;;;136.281;-28.7056;0;Bottom;Via2
157;;THT;18.2577;-43.3105;-90;Bottom;U15
158;;;24.5216;-42.0404;0;Bottom;Pad91
159;100;THT;116.914;-36.3255;-4.77083e-15;Bottom;R45
160;;THT;41.0316;-56.0105;90;Bottom;J13
161;330;THT;93.1016;-7.43297;90;Bottom;R113
162;;THT;63.8916;-56.0105;90;Bottom;J11
163;;;159.141;-28.6994;0;Bottom;Via3
164;;;206.517;-55.8856;0;Bottom;TXT14
165;100;THT;38.8091;-22.3555;0;Bottom;R91
166;;;179.462;-44.5804;0;Bottom;Pad37
167;100;THT;61.0341;-36.3255;0;Bottom;R55
168;100;THT;48.3341;-36.3255;-4.77083e-15;Bottom;R57
169;;;159.142;-16.6404;0;Bottom;Pad20
170;;;24.5215;-29.9756;0;Bottom;Via9
171;;;105.802;-42.0404;0;Bottom;Pad58
172;;;70.2416;-42.0404;0;Bottom;Pad75
173;100;THT;15.3141;-36.3255;0;Bottom;R63
174;;;9.28156;-42.0404;0;Bottom;Pad90
175;;;88.0216;-44.5804;0;Bottom;Pad68
176;330;THT;47.3816;-7.43297;90;Bottom;R121
177;330;THT;62.6216;-51.248;90;Bottom;R23
178;330;THT;19.4416;-7.43297;90;Bottom;R126
179;330;THT;67.7016;-51.248;90;Bottom;R22
180;100;THT;55.9541;-36.3255;180;Bottom;R56
181;;;182.001;-28.7056;0;Bottom;Via6
182;;THT;41.0316;-2.67047;-90;Bottom;J14
183;100;THT;112.469;-22.3555;0;Bottom;R78
184;330;THT;57.5416;-51.248;90;Bottom;R24
185;;;88.0216;-42.0404;0;Bottom;Pad72
186;;;161.681;-29.9756;0;Bottom;Via4
187;;;72.7816;-16.6404;0;Bottom;Pad105
188;;;164.222;-16.6404;0;Bottom;Pad21
189;330;THT;32.1416;-7.43297;90;Bottom;R124
190;100;THT;148.029;-22.3555;0;Bottom;R72
191;;;161.682;-42.0404;0;Bottom;Pad46
192;330;THT;39.7616;-51.248;90;Bottom;R27
193;;;27.0616;-16.6404;0;Bottom;Pad121
194;330;THT;9.28158;-7.43297;90;Bottom;R128
195;100;THT;139.774;-36.3255;-4.77083e-15;Bottom;R41
196;;;207.126;-53.522;0;Bottom;TXT15
197;100;THT;106.754;-36.3255;0;Bottom;R47
198;;;34.6816;-14.1004;0;Bottom;Pad119
199;330;THT;156.602;-7.43297;90;Bottom;R102
200;;;4.20166;-2.67038;0;Bottom;Hole8
201;330;THT;133.742;-7.43297;90;Bottom;R106
202;;;4.38276;-29.3477;0;Bottom;Copper Fill5
203;100nF;200 mil [THT, multilayer];166.762;-29.3405;90;Bottom;C2
204;;;115.956;-29.9809;0;Bottom;Via7
205;100;THT;10.8691;-22.3555;0;Bottom;R96
206;330;THT;138.822;-7.43297;90;Bottom;R105
207;100;THT;175.969;-22.3555;0;Bottom;R67
208;100;THT;25.4741;-36.3255;-4.77083e-15;Bottom;R61
209;;;90.5616;-14.1004;0;Bottom;Pad99
210;;;198.539;-21.7386;-90;Bottom;TXT5
