*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V5.0
*Date=15:35:03
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
83;;;158.918;-14.0665;0;Bottom;Pad23
84;100;THT;175.111;-36.2916;180;Bottom;R34
85;;;34.4585;-16.6066;0;Bottom;Pad118
86;;;133.518;-44.5465;0;Bottom;Pad52
87;;;29.3785;-14.0666;0;Bottom;Pad119
88;100;THT;135.106;-22.3216;0;Bottom;R73
89;100;THT;152.251;-36.2916;180;Bottom;R38
90;;;153.838;-28.6655;0;Bottom;Via3
91;;;95.7817;-29.3661;0;Top;blkr3
92;;THT;35.7285;-3.2716;-90;Bottom;J14
93;100;THT;73.511;-36.2916;180;Bottom;R53
94;;;29.3785;-16.6066;0;Bottom;Pad120
95;100;THT;5.56599;-22.3216;0;Bottom;R96
96;100;THT;32.871;-36.2916;0;Bottom;R59
97;;;163.998;-44.5465;0;Bottom;Pad40
98;;;169.078;-42.0065;0;Bottom;Pad34
99;;THT;12.8685;-55.3416;90;Bottom;J15
100;;;54.7785;-44.5466;0;Bottom;Pad78
101;;;49.6985;-42.0066;0;Bottom;Pad74
102;;;118.278;-44.5465;0;Bottom;Pad56
103;100;THT;96.371;-36.2916;180;Bottom;R48
104;330;THT;54.7785;-7.3991;90;Bottom;R119
105;100;THT;101.451;-36.2916;0;Bottom;R47
106;;;64.9246;-29.9403;0;Bottom;Via16
107;100;THT;176.063;-22.3216;0;Bottom;R66
108;;;120.818;-16.6065;0;Bottom;Pad9
109;;;110.652;-29.9471;0;Bottom;Via7
110;;;181.778;-13.749;0;Bottom;Pad31
111;;THT;81.4485;-55.3416;90;Bottom;J9
112;;;95.4185;-42.0065;0;Bottom;Pad63
113;;;85.2585;-14.0666;0;Bottom;Pad99
114;;;87.7985;-42.0066;0;Bottom;Pad67
115;330;THT;169.078;-7.3991;90;Bottom;R99
116;;;62.3985;-16.6066;0;Bottom;Pad108
117;;;39.5385;-14.0666;0;Bottom;Pad115
118;100;THT;142.091;-36.2916;180;Bottom;R40
119;;;171.618;-16.289;0;Bottom;Pad30
120;;;133.518;-29.9417;0;Bottom;Via1
121;;;44.6185;-14.0666;0;Bottom;Pad114
122;;;75.0985;-14.0666;0;Bottom;Pad103
123;;;87.7985;-44.5466;0;Bottom;Pad69
124;;;163.998;-42.0065;0;Bottom;Pad39
125;;;95.25;-29.3138;0;Bottom;Copper Fill1
126;;;16.6785;-16.6066;0;Bottom;Pad124
127;;THT;35.8145;-43.2766;-90;Bottom;U13
128;;;186.859;-3.90652;0;Bottom;Hole5
129;330;THT;143.678;-51.2141;90;Bottom;R8
130;;THT;12.7824;-15.3367;90;Bottom;U16
131;100;THT;55.731;-36.2916;0;Bottom;R55
132;;;34.4585;-14.0666;0;Bottom;Pad117
133;330;THT;128.438;-7.3991;90;Bottom;R106
134;100;THT;89.386;-22.3216;0;Bottom;R81
135;;DIP16 [THT];172.888;-29.3066;90;Bottom;IC1
136;;;19.2185;-44.5466;0;Bottom;Pad93
137;;;179.238;-44.5465;0;Bottom;Pad36
138;330;THT;67.4785;-51.2141;90;Bottom;R21
139;;;110.658;-42.0065;0;Bottom;Pad62
140;330;THT;108.118;-51.2141;90;Bottom;R14
141;;;44.6185;-16.6066;0;Bottom;Pad113
142;100;THT;102.086;-22.3216;0;Bottom;R79
143;330;THT;163.998;-7.3991;90;Bottom;R100
144;;;130.978;-16.6065;0;Bottom;Pad12
145;;;39.5385;-16.6066;0;Bottom;Pad116
146;;;128.438;-44.5465;0;Bottom;Pad53
147;;;59.8585;-42.0066;0;Bottom;Pad80
148;;THT;127.168;-3.2716;-90;Bottom;J6
149;330;THT;100.498;-7.3991;90;Bottom;R111
150;100;THT;134.471;-36.2916;-4.77083e-15;Bottom;R41
151;;;95.4185;-44.5465;0;Bottom;Pad64
152;100;THT;27.791;-36.2916;180;Bottom;R60
153;;;64.9385;-44.5466;0;Bottom;Pad77
