*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriverFill-V5.0
*Date=06:58:31
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
112;;;118.374;-16.6065;0;Bottom;Pad8
113;;;77.7336;-44.5465;0;Bottom;Pad65
114;;THT;155.118;-15.3367;90;Bottom;U4
115;;DIP16 [THT];155.204;-29.3066;90;Bottom;IC2
116;100;THT;163.141;-22.3216;0;Bottom;R69
117;;;77.7336;-42.0065;0;Bottom;Pad66
118;;;72.6536;-14.0665;0;Bottom;Pad106
119;;THT;40.8176;-15.3367;90;Bottom;U14
120;;;57.4136;-16.6065;0;Bottom;Pad112
121;;;151.394;-42.0065;0;Bottom;Pad42
122;;;133.614;-44.5465;0;Bottom;Pad53
123;;;92.9614;-29.9403;0;Bottom;Via11
124;;THT;86.6236;-3.2716;-90;Bottom;J10
125;100;THT;111.706;-36.2916;180;Bottom;R46
126;100;THT;107.261;-22.3216;0;Bottom;R79
127;;;85.3536;-16.6065;0;Bottom;Pad102
128;;;110.754;-42.0065;0;Bottom;Pad57
129;330;THT;72.6536;-51.2141;90;Bottom;R21
130;;;156.474;-44.5465;0;Bottom;Pad45
131;;;125.994;-16.6065;0;Bottom;Pad9
132;;;67.5736;-16.6065;0;Bottom;Pad108
133;;THT;18.1297;-43.2766;-90;Bottom;U15
134;330;THT;92.9736;-7.3991;90;Bottom;R113
135;;;24.3936;-29.9417;0;Bottom;Via9
136;100;THT;147.266;-36.2916;180;Bottom;R40
137;;;138.694;-44.5465;0;Bottom;Pad52
138;;;146.314;-44.5465;0;Bottom;Pad48
139;;;153.934;-14.0665;0;Bottom;Pad24
140;;;192.342;-39.4521;0;Bottom;TXT9
141;;;192.455;-12.1484;-90;Bottom;TXT8
142;330;THT;21.8536;-51.2141;90;Bottom;R30
143;;;4.07373;-3.90652;0;Bottom;Hole8
144;100;THT;162.506;-36.2916;-4.77083e-15;Bottom;R37
145;330;THT;164.094;-51.2141;90;Bottom;R5
146;;;95.5136;-16.6065;0;Bottom;Pad97
147;;;164.094;-16.6065;0;Bottom;Pad21
148;330;THT;3.75615;-38.1966;-90;Bottom;R129
149;;THT;3.75615;-28.9891;0;Bottom;TEST
150;100;THT;94.5611;-22.3216;0;Bottom;R81
151;330;THT;115.834;-7.3991;90;Bottom;R109
152;100;THT;175.206;-36.2916;0;Bottom;R35
153;;THT;132.344;-3.2716;-90;Bottom;J6
154;;;42.1736;-42.0065;0;Bottom;Pad88
155;;;136.154;-16.6065;0;Bottom;Pad12
156;;THT;40.9036;-55.3416;90;Bottom;J13
157;;;87.8936;-44.5465;0;Bottom;Pad68
158;100;THT;106.626;-36.2916;0;Bottom;R47
159;;;24.3936;-44.5465;0;Bottom;Pad93
160;;;174.254;-42.0065;0;Bottom;Pad34
161;;;47.2536;-44.5465;0;Bottom;Pad85
162;;;136.154;-28.6717;0;Bottom;Via2
163;;;54.8736;-44.5465;0;Bottom;Pad73
164;330;THT;37.0936;-7.3991;90;Bottom;R123
165;;DIP16 [THT];86.6236;-29.3066;90;Bottom;IC5
166;;;153.934;-16.6065;0;Bottom;Pad22
167;;;113.294;-16.6065;0;Bottom;Pad5
168;;THT;63.8496;-43.2766;-90;Bottom;U11
169;100;THT;135.201;-22.3216;0;Bottom;R74
170;0.030;5 mm [THT];3.75601;-47.7776;0;Bottom;LED1
171;100;THT;43.1261;-36.2916;180;Bottom;R58
172;100;THT;124.406;-36.2916;180;Bottom;R44
173;;;159.013;-28.6655;0;Bottom;Via3
174;330;THT;24.3936;-7.3991;90;Bottom;R125
175;;;148.854;-14.0665;0;Bottom;Pad18
176;330;THT;105.674;-7.3991;90;Bottom;R111
177;;;65.0336;-44.5465;0;Bottom;Pad76
178;;;11.6936;-16.6065;0;Bottom;Pad128
179;330;THT;49.7936;-51.2141;90;Bottom;R25
180;;THT;63.7636;-3.2716;-90;Bottom;J12
181;;;114.569;-43.8429;0;Bottom;TXT7
182;;;70.1137;-44.5465;0;Bottom;Pad77
183;;;65.0336;-42.0065;0;Bottom;Pad80
184;;;14.2336;-44.5465;0;Bottom;Pad94
185;330;THT;176.794;-51.2141;90;Bottom;R3
186;;;19.3136;-44.5465;0;Bottom;Pad92
187;;;82.8136;-42.0065;0;Bottom;Pad71
188;;;181.874;-16.6065;0;Bottom;Pad28
189;;;21.8536;-14.0665;0;Bottom;Pad123
190;;;108.214;-14.0665;0;Bottom;Pad4
191;;;100.594;-42.0065;0;Bottom;Pad63
192;;;128.534;-44.5465;0;Bottom;Pad51
193;;;181.874;-28.6717;0;Bottom;Via6
194;100;THT;158.061;-22.3216;0;Bottom;R70
195;;;4.07373;-54.7066;0;Bottom;Hole7
196;330;THT;3.75615;-19.7816;90;Bottom;R130
197;330;THT;26.9336;-51.2141;90;Bottom;R29
198;330;THT;59.9536;-7.3991;90;Bottom;R119
199;100;THT;15.8211;-22.3216;0;Bottom;R95
