*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB-LedDriver-V4.2
*Date=12:26:36
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
110;;;28.7442;-50.7748;0;Bottom;TXT6
111;;;10.7447;-3.27995;0;Bottom;Pad36
112;;;41.2247;-65.5099;0;Bottom;Pad18
113;;;3.12469;-67.0974;0;Bottom;Pad31
114;;THT;80.6999;-50.8824;-90;Bottom;U5
115;;;81.8647;-65.5099;0;Bottom;Pad5
116;;;33.6047;-1.69245;0;Bottom;Pad45
117;;THT;95.8346;-26.7749;0;Bottom;I2C
118;;;53.9247;-67.0974;0;Bottom;Pad13
119;;;66.6247;-3.27995;0;Bottom;Pad54
120;100;THT;72.6571;-43.2849;180;Bottom;R32
121;330;THT;36.1446;-9.94736;90;Bottom;R59
122;;THT;34.7885;-17.8849;90;Bottom;U12
123;;THT;80.5946;-63.6049;90;Bottom;J4
124;;;71.7047;-65.5099;0;Bottom;Pad2
125;;;48.8447;-67.0974;0;Bottom;Pad15
126;;;20.9047;-3.27995;0;Bottom;Pad40
127;;;48.8447;-65.5099;0;Bottom;Pad16
128;330;THT;59.0046;-9.94736;90;Bottom;R63
129;100;THT;49.7971;-43.2849;180;Bottom;R27
130;330;THT;84.4046;-58.8424;-90;Bottom;R15
131;330;THT;61.5446;-58.8424;90;Bottom;R11
132;;;13.2847;-67.0974;0;Bottom;Pad27
133;100;THT;65.0371;-43.2849;-4.77083e-15;Bottom;R30
134;100;THT;82.8171;-43.2849;180;Bottom;R34
135;;;15.8247;-3.27995;0;Bottom;Pad38
136;330;THT;41.2246;-9.94736;90;Bottom;R60
137;;;10.7447;-1.69245;0;Bottom;Pad35
138;;;28.5247;-1.69245;0;Bottom;Pad41
139;;THT;12.1007;-50.9049;-90;Bottom;U11
140;;THT;57.7346;-63.6049;90;Bottom;J3
141;;THT;57.6485;-17.8849;90;Bottom;U8
142;330;THT;25.9846;-9.94736;90;Bottom;R57
143;330;THT;51.3846;-58.8424;90;Bottom;R9
144;;THT;11.9285;-17.8849;90;Bottom;U13
145;;;81.8647;-67.0974;0;Bottom;Pad6
146;100;THT;9.15711;-43.2849;0;Bottom;R18
147;330;THT;43.7646;-58.8424;90;Bottom;R8
148;;;92.7547;-27.8551;0;Bottom;TXT2
149;;THT;57.7346;-5.18486;-90;Bottom;J13
150;;;89.4847;-1.69245;0;Bottom;Pad63
151;;DIP16 [THT];12.0146;-34.3949;90;Bottom;U4
152;100;THT;37.0971;-43.2849;180;Bottom;R24
153;100;THT;19.9521;-25.5049;0;Bottom;R40
154;;;66.6247;-1.69245;0;Bottom;Pad53
155;330;THT;74.2446;-58.8424;90;Bottom;R13
156;330;THT;15.8246;-58.8424;90;Bottom;R3
157;;;79.3247;-3.27995;0;Bottom;Pad60
158;;;18.3647;-65.5099;0;Bottom;Pad26
159;;;92.6206;-15.3366;0;Bottom;TXT2
160;;THT;80.5946;-5.18486;-90;Bottom;J14
161;100;THT;4.71211;-25.5049;0;Bottom;R37
162;;;36.1447;-67.0974;0;Bottom;Pad19
163;100;THT;14.8721;-25.5049;0;Bottom;R39
164;100;THT;30.1121;-25.5049;0;Bottom;R42
165;100;THT;59.9571;-43.2849;180;Bottom;R29
166;330;THT;64.0846;-9.94736;90;Bottom;R64
167;;;79.3247;-1.69245;0;Bottom;Pad59
168;100;THT;9.79211;-25.5049;0;Bottom;R38
